id,type,parent_id,branch_level,translate_x,translate_y,translate_z,rotate_x,rotate_y,rotate_z,scale_x,scale_y,scale_z,color_r,color_g,color_b,color_a,geometry,hide,topo,ratio,texture_id,ch_input_id
122,5,0,0,-15.3368,-33.6559,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,164,34,255,24,0,0,0.1,0,122
123,5,0,0,-61.108,30.1275,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,209,34,255,24,0,0,0.1,0,123
124,5,0,0,-49.3184,27.1668,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,190,34,255,24,0,0,0.1,0,124
125,5,0,0,6.8553,-39.8312,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,82,34,255,24,0,0,0.1,0,125
126,5,0,0,-25.7394,-54.3813,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,96,34,255,24,0,0,0.1,0,126
127,5,0,0,-150.5698,67.0949,2.0,0.0,0.0,0.0,1.0,1.0,1.0,161,229,34,255,24,0,0,0.1,0,127
128,5,0,0,-79.8326,56.7745,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,198,34,255,24,0,0,0.1,0,128
129,5,0,0,-2.8538,-75.2759,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,204,34,255,24,0,0,0.1,0,129
130,5,0,0,-82.6066,28.3511,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,131,34,255,24,0,0,0.1,0,130
131,5,0,0,-81.2196,50.6837,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,176,34,255,24,0,0,0.1,0,131
132,5,0,0,-54.173,-49.8133,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,90,34,255,24,0,0,0.1,0,132
133,5,0,0,-115.8947,-16.991,2.0,0.0,0.0,0.0,1.0,1.0,1.0,205,229,34,255,24,0,0,0.1,0,133
134,5,0,0,-93.0091,19.8917,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,191,34,255,24,0,0,0.1,0,134
135,5,0,0,-66.656,-49.6441,2.0,0.0,0.0,0.0,1.0,1.0,1.0,229,110,34,255,24,0,0,0.1,0,135
