id,type,parent_id,branch_level,translate_x,translate_y,translate_z,rotate_x,rotate_y,rotate_z,scale_x,scale_y,scale_z,color_r,color_g,color_b,color_a,geometry,hide,topo,ratio,ch_input_id
3084,5,3067,2,119.9774,0.0,5.14,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3085,5,3067,2,120.601,0.0,5.0943,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3086,5,3067,2,121.2246,0.0,9.6073,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3087,5,3067,2,121.8482,0.0,13.3431,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3088,5,3067,2,122.4718,0.0,9.7189,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3089,5,3067,2,123.0954,0.0,19.3277,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3090,5,3067,2,123.719,0.0,12.5196,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3091,5,3067,2,124.3426,0.0,30.0,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3092,5,3067,2,124.9662,0.0,21.1818,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3093,5,3067,2,125.5897,0.0,14.252,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3094,5,3067,2,126.2133,0.0,13.0885,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3095,5,3067,2,126.8369,0.0,30.0,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3096,5,3067,2,127.4605,0.0,30.0,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3097,5,3067,2,128.0841,0.0,7.2345,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3098,5,3067,2,128.7077,0.0,6.6138,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3099,5,3067,2,129.3313,0.0,9.2525,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3100,5,3067,2,129.9549,0.0,7.0333,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3101,5,3067,2,130.5785,0.0,9.0187,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3102,5,3067,2,131.202,0.0,8.7219,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3103,5,3067,2,131.8256,0.0,6.4303,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3104,5,3067,2,132.4492,0.0,9.4072,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3105,5,3067,2,133.0728,0.0,9.0688,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3106,5,3067,2,133.6964,0.0,6.9703,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3107,5,3067,2,134.32,0.0,8.967,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3108,5,3067,2,134.9436,0.0,9.4092,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3109,5,3067,2,135.5672,0.0,12.5415,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3110,5,3067,2,136.1908,0.0,9.2183,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3111,5,3067,2,136.8144,0.0,30.0,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3112,5,3067,2,137.4379,0.0,9.8971,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3113,5,3067,2,138.0615,0.0,8.0994,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3114,5,3067,2,138.6851,0.0,12.7653,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3115,5,3067,2,139.3087,0.0,8.1573,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3116,5,3067,2,139.9323,0.0,8.9346,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3117,5,3067,2,140.5559,0.0,11.2242,0.0,0.0,0.0,0.6,0.6,0.6,255,150,38,255,22,0,0,0.04,0
3177,5,2955,1,110.0,0.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,255,255,255,255,11,0,0,0.1,64
3195,5,0,0,82.6078,73.0762,21.1765,0.0,0.0,0.0,4.0,4.0,4.0,255,165,38,255,16,0,0,0.1,71
3205,5,0,0,220.0,280.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,255,165,38,255,16,0,0,0.1,0
3206,5,3205,1,-10.0,-4.0,0.0,0.0,0.0,0.0,2.8355555555555556,2.8355555555555556,2.8355555555555556,255,165,38,255,1,0,0,0.1,0
