id,type,parent_id,branch_level,translate_x,translate_y,translate_z,rotate_x,rotate_y,rotate_z,scale_x,scale_y,scale_z,color_r,color_g,color_b,color_a,geometry,hide,topo,ratio
72,5,2,1,32.0,24.0,63.7962,0.0,0.0,0.0,2.0,2.0,2.0,29,118,199,255,1,0,0,0.1
73,5,1,1,40.0,24.0,30.0251,0.0,0.0,0.0,2.0,2.0,2.0,147,59,22,255,1,0,0,0.1
74,5,2,1,40.0,24.0,64.5823,0.0,0.0,0.0,2.0,2.0,2.0,30,118,200,255,1,0,0,0.1
75,5,1,1,48.0,24.0,19.713,0.0,0.0,0.0,2.0,2.0,2.0,132,53,19,255,1,0,0,0.1
76,5,2,1,48.0,24.0,50.4073,0.0,0.0,0.0,2.0,2.0,2.0,26,106,179,255,1,0,0,0.1
77,5,1,1,56.0,24.0,14.1395,0.0,0.0,0.0,2.0,2.0,2.0,123,50,18,255,1,0,0,0.1
78,5,2,1,56.0,24.0,37.5196,0.0,0.0,0.0,2.0,2.0,2.0,23,94,159,255,1,0,0,0.1
79,5,1,1,64.0,24.0,11.7158,0.0,0.0,0.0,2.0,2.0,2.0,119,48,17,255,1,0,0,0.1
80,5,2,1,64.0,24.0,29.9359,0.0,0.0,0.0,2.0,2.0,2.0,22,87,147,255,1,0,0,0.1
81,5,1,1,72.0,24.0,17.56,0.0,0.0,0.0,2.0,2.0,2.0,128,52,19,255,1,0,0,0.1
82,5,2,1,72.0,24.0,35.8366,0.0,0.0,0.0,2.0,2.0,2.0,23,92,156,255,1,0,0,0.1
83,5,1,1,0.0,32.0,42.4864,0.0,0.0,0.0,2.0,2.0,2.0,167,67,25,255,1,0,0,0.1
84,5,2,1,0.0,32.0,74.181,0.0,0.0,0.0,2.0,2.0,2.0,32,127,215,255,1,0,0,0.1
85,5,1,1,8.0,32.0,37.2154,0.0,0.0,0.0,2.0,2.0,2.0,158,64,23,255,1,0,0,0.1
86,5,2,1,8.0,32.0,69.0245,0.0,0.0,0.0,2.0,2.0,2.0,31,122,207,255,1,0,0,0.1
87,5,1,1,16.0,32.0,42.2634,0.0,0.0,0.0,2.0,2.0,2.0,166,67,24,255,1,0,0,0.1
88,5,2,1,16.0,32.0,73.8395,0.0,0.0,0.0,2.0,2.0,2.0,32,127,214,255,1,0,0,0.1
89,5,1,1,24.0,32.0,31.3751,0.0,0.0,0.0,2.0,2.0,2.0,150,60,22,255,1,0,0,0.1
90,5,2,1,24.0,32.0,65.6056,0.0,0.0,0.0,2.0,2.0,2.0,30,119,202,255,1,0,0,0.1
91,5,1,1,32.0,32.0,30.2182,0.0,0.0,0.0,2.0,2.0,2.0,148,60,22,255,1,0,0,0.1
92,5,2,1,32.0,32.0,64.6192,0.0,0.0,0.0,2.0,2.0,2.0,30,118,200,255,1,0,0,0.1
93,5,1,1,40.0,32.0,31.8061,0.0,0.0,0.0,2.0,2.0,2.0,150,61,22,255,1,0,0,0.1
94,5,2,1,40.0,32.0,64.1743,0.0,0.0,0.0,2.0,2.0,2.0,30,118,200,255,1,0,0,0.1
95,5,1,1,48.0,32.0,21.8573,0.0,0.0,0.0,2.0,2.0,2.0,135,54,20,255,1,0,0,0.1
96,5,2,1,48.0,32.0,53.7477,0.0,0.0,0.0,2.0,2.0,2.0,27,109,184,255,1,0,0,0.1
97,5,1,1,56.0,32.0,15.8949,0.0,0.0,0.0,2.0,2.0,2.0,126,51,18,255,1,0,0,0.1
98,5,2,1,56.0,32.0,39.871,0.0,0.0,0.0,2.0,2.0,2.0,24,96,163,255,1,0,0,0.1
99,5,1,1,64.0,32.0,12.4275,0.0,0.0,0.0,2.0,2.0,2.0,121,49,18,255,1,0,0,0.1
100,5,2,1,64.0,32.0,30.9393,0.0,0.0,0.0,2.0,2.0,2.0,22,88,149,255,1,0,0,0.1
101,5,1,1,72.0,32.0,18.3622,0.0,0.0,0.0,2.0,2.0,2.0,130,52,19,255,1,0,0,0.1
102,5,2,1,72.0,32.0,40.1662,0.0,0.0,0.0,2.0,2.0,2.0,24,96,163,255,1,0,0,0.1
103,5,1,1,0.0,40.0,43.91,0.0,0.0,0.0,2.0,2.0,2.0,169,68,25,255,1,0,0,0.1
104,5,2,1,0.0,40.0,74.8193,0.0,0.0,0.0,2.0,2.0,2.0,32,128,216,255,1,0,0,0.1
105,5,1,1,8.0,40.0,38.1596,0.0,0.0,0.0,2.0,2.0,2.0,160,64,24,255,1,0,0,0.1
106,5,2,1,8.0,40.0,71.1797,0.0,0.0,0.0,2.0,2.0,2.0,31,124,210,255,1,0,0,0.1
107,5,1,1,16.0,40.0,46.9162,0.0,0.0,0.0,2.0,2.0,2.0,173,70,26,255,1,0,0,0.1
108,5,2,1,16.0,40.0,76.7764,0.0,0.0,0.0,2.0,2.0,2.0,32,129,219,255,1,0,0,0.1
109,5,1,1,24.0,40.0,36.1974,0.0,0.0,0.0,2.0,2.0,2.0,157,63,23,255,1,0,0,0.1
110,5,2,1,24.0,40.0,69.2095,0.0,0.0,0.0,2.0,2.0,2.0,31,123,207,255,1,0,0,0.1
111,5,1,1,32.0,40.0,34.3807,0.0,0.0,0.0,2.0,2.0,2.0,154,62,23,255,1,0,0,0.1
112,5,2,1,32.0,40.0,69.0192,0.0,0.0,0.0,2.0,2.0,2.0,31,122,207,255,1,0,0,0.1
113,5,1,1,40.0,40.0,33.8127,0.0,0.0,0.0,2.0,2.0,2.0,153,62,23,255,1,0,0,0.1
114,5,2,1,40.0,40.0,66.2153,0.0,0.0,0.0,2.0,2.0,2.0,30,120,203,255,1,0,0,0.1
115,5,1,1,48.0,40.0,27.898,0.0,0.0,0.0,2.0,2.0,2.0,144,58,21,255,1,0,0,0.1
116,5,2,1,48.0,40.0,60.0286,0.0,0.0,0.0,2.0,2.0,2.0,29,114,193,255,1,0,0,0.1
117,5,1,1,56.0,40.0,20.7432,0.0,0.0,0.0,2.0,2.0,2.0,133,54,20,255,1,0,0,0.1
118,5,2,1,56.0,40.0,46.0165,0.0,0.0,0.0,2.0,2.0,2.0,25,102,172,255,1,0,0,0.1
119,5,1,1,64.0,40.0,17.6853,0.0,0.0,0.0,2.0,2.0,2.0,129,52,19,255,1,0,0,0.1
120,5,2,1,64.0,40.0,39.2314,0.0,0.0,0.0,2.0,2.0,2.0,24,95,162,255,1,0,0,0.1
121,5,1,1,72.0,40.0,18.2293,0.0,0.0,0.0,2.0,2.0,2.0,129,52,19,255,1,0,0,0.1
122,5,2,1,72.0,40.0,41.8702,0.0,0.0,0.0,2.0,2.0,2.0,24,98,166,255,1,0,0,0.1
123,5,1,1,0.0,48.0,48.9884,0.0,0.0,0.0,2.0,2.0,2.0,176,71,26,255,1,0,0,0.1
124,5,2,1,0.0,48.0,77.5512,0.0,0.0,0.0,2.0,2.0,2.0,33,130,220,255,1,0,0,0.1
125,5,1,1,8.0,48.0,44.2943,0.0,0.0,0.0,2.0,2.0,2.0,169,68,25,255,1,0,0,0.1
126,5,2,1,8.0,48.0,76.0411,0.0,0.0,0.0,2.0,2.0,2.0,32,129,218,255,1,0,0,0.1
127,5,1,1,16.0,48.0,54.128,0.0,0.0,0.0,2.0,2.0,2.0,184,74,27,255,1,0,0,0.1
128,5,2,1,16.0,48.0,81.5915,0.0,0.0,0.0,2.0,2.0,2.0,34,134,226,255,1,0,0,0.1
129,5,1,1,24.0,48.0,45.1276,0.0,0.0,0.0,2.0,2.0,2.0,171,69,25,255,1,0,0,0.1
130,5,2,1,24.0,48.0,75.7837,0.0,0.0,0.0,2.0,2.0,2.0,32,129,217,255,1,0,0,0.1
131,5,1,1,32.0,48.0,39.9974,0.0,0.0,0.0,2.0,2.0,2.0,163,66,24,255,1,0,0,0.1
132,5,2,1,32.0,48.0,70.0981,0.0,0.0,0.0,2.0,2.0,2.0,31,123,209,255,1,0,0,0.1
133,5,1,1,40.0,48.0,37.5729,0.0,0.0,0.0,2.0,2.0,2.0,159,64,23,255,1,0,0,0.1
134,5,2,1,40.0,48.0,70.8389,0.0,0.0,0.0,2.0,2.0,2.0,31,124,210,255,1,0,0,0.1
135,5,1,1,48.0,48.0,30.9042,0.0,0.0,0.0,2.0,2.0,2.0,149,60,22,255,1,0,0,0.1
136,5,2,1,48.0,48.0,62.9053,0.0,0.0,0.0,2.0,2.0,2.0,29,117,198,255,1,0,0,0.1
137,5,1,1,56.0,48.0,23.9903,0.0,0.0,0.0,2.0,2.0,2.0,138,56,20,255,1,0,0,0.1
138,5,2,1,56.0,48.0,50.8302,0.0,0.0,0.0,2.0,2.0,2.0,26,106,179,255,1,0,0,0.1
139,5,1,1,64.0,48.0,21.4018,0.0,0.0,0.0,2.0,2.0,2.0,134,54,20,255,1,0,0,0.1
140,5,2,1,64.0,48.0,46.465,0.0,0.0,0.0,2.0,2.0,2.0,25,102,173,255,1,0,0,0.1
141,5,1,1,72.0,48.0,20.5149,0.0,0.0,0.0,2.0,2.0,2.0,133,54,20,255,1,0,0,0.1
142,5,2,1,72.0,48.0,45.3249,0.0,0.0,0.0,2.0,2.0,2.0,25,101,171,255,1,0,0,0.1
143,5,1,1,0.0,56.0,51.276,0.0,0.0,0.0,2.0,2.0,2.0,180,73,27,255,1,0,0,0.1
144,5,2,1,0.0,56.0,77.8731,0.0,0.0,0.0,2.0,2.0,2.0,33,130,221,255,1,0,0,0.1
145,5,1,1,8.0,56.0,45.6169,0.0,0.0,0.0,2.0,2.0,2.0,171,69,25,255,1,0,0,0.1
146,5,2,1,8.0,56.0,75.4288,0.0,0.0,0.0,2.0,2.0,2.0,32,128,217,255,1,0,0,0.1
147,5,1,1,16.0,56.0,58.9217,0.0,0.0,0.0,2.0,2.0,2.0,192,77,28,255,1,0,0,0.1
148,5,2,1,16.0,56.0,83.3834,0.0,0.0,0.0,2.0,2.0,2.0,34,135,229,255,1,0,0,0.1
149,5,1,1,24.0,56.0,51.6878,0.0,0.0,0.0,2.0,2.0,2.0,181,73,27,255,1,0,0,0.1
150,5,2,1,24.0,56.0,80.5209,0.0,0.0,0.0,2.0,2.0,2.0,33,133,225,255,1,0,0,0.1
151,5,1,1,32.0,56.0,45.4374,0.0,0.0,0.0,2.0,2.0,2.0,171,69,25,255,1,0,0,0.1
152,5,2,1,32.0,56.0,77.2944,0.0,0.0,0.0,2.0,2.0,2.0,33,130,220,255,1,0,0,0.1
153,5,1,1,40.0,56.0,42.0712,0.0,0.0,0.0,2.0,2.0,2.0,166,67,24,255,1,0,0,0.1
154,5,2,1,40.0,56.0,72.2567,0.0,0.0,0.0,2.0,2.0,2.0,31,125,212,255,1,0,0,0.1
155,5,1,1,48.0,56.0,39.11,0.0,0.0,0.0,2.0,2.0,2.0,161,65,24,255,1,0,0,0.1
156,5,2,1,48.0,56.0,69.7457,0.0,0.0,0.0,2.0,2.0,2.0,31,123,208,255,1,0,0,0.1
157,5,1,1,56.0,56.0,29.2939,0.0,0.0,0.0,2.0,2.0,2.0,146,59,22,255,1,0,0,0.1
158,5,2,1,56.0,56.0,56.687,0.0,0.0,0.0,2.0,2.0,2.0,28,111,188,255,1,0,0,0.1
159,5,1,1,64.0,56.0,26.3607,0.0,0.0,0.0,2.0,2.0,2.0,142,57,21,255,1,0,0,0.1
160,5,2,1,64.0,56.0,52.2408,0.0,0.0,0.0,2.0,2.0,2.0,27,107,181,255,1,0,0,0.1
161,5,1,1,72.0,56.0,23.5743,0.0,0.0,0.0,2.0,2.0,2.0,138,55,20,255,1,0,0,0.1
162,5,2,1,72.0,56.0,51.8124,0.0,0.0,0.0,2.0,2.0,2.0,27,107,181,255,1,0,0,0.1
163,5,1,1,0.0,64.0,51.5509,0.0,0.0,0.0,2.0,2.0,2.0,180,73,27,255,1,0,0,0.1
164,5,2,1,0.0,64.0,79.9387,0.0,0.0,0.0,2.0,2.0,2.0,33,132,224,255,1,0,0,0.1
165,5,1,1,8.0,64.0,48.04,0.0,0.0,0.0,2.0,2.0,2.0,175,71,26,255,1,0,0,0.1
166,5,2,1,8.0,64.0,77.1061,0.0,0.0,0.0,2.0,2.0,2.0,32,130,219,255,1,0,0,0.1
167,5,1,1,16.0,64.0,59.9986,0.0,0.0,0.0,2.0,2.0,2.0,193,78,29,255,1,0,0,0.1
168,5,2,1,16.0,64.0,84.3199,0.0,0.0,0.0,2.0,2.0,2.0,34,136,231,255,1,0,0,0.1
169,5,1,1,24.0,64.0,54.2408,0.0,0.0,0.0,2.0,2.0,2.0,184,74,27,255,1,0,0,0.1
170,5,2,1,24.0,64.0,82.0729,0.0,0.0,0.0,2.0,2.0,2.0,34,134,227,255,1,0,0,0.1
171,5,1,1,32.0,64.0,45.925,0.0,0.0,0.0,2.0,2.0,2.0,172,69,25,255,1,0,0,0.1
172,5,2,1,32.0,64.0,74.4325,0.0,0.0,0.0,2.0,2.0,2.0,32,127,215,255,1,0,0,0.1
173,5,1,1,40.0,64.0,46.6271,0.0,0.0,0.0,2.0,2.0,2.0,173,70,26,255,1,0,0,0.1
174,5,2,1,40.0,64.0,77.0019,0.0,0.0,0.0,2.0,2.0,2.0,32,130,219,255,1,0,0,0.1
175,5,1,1,48.0,64.0,42.7486,0.0,0.0,0.0,2.0,2.0,2.0,167,67,25,255,1,0,0,0.1
176,5,2,1,48.0,64.0,71.2546,0.0,0.0,0.0,2.0,2.0,2.0,31,124,211,255,1,0,0,0.1
177,5,1,1,56.0,64.0,31.6444,0.0,0.0,0.0,2.0,2.0,2.0,150,60,22,255,1,0,0,0.1
178,5,2,1,56.0,64.0,59.4012,0.0,0.0,0.0,2.0,2.0,2.0,28,114,192,255,1,0,0,0.1
179,5,1,1,64.0,64.0,30.0518,0.0,0.0,0.0,2.0,2.0,2.0,147,59,22,255,1,0,0,0.1
180,5,2,1,64.0,64.0,57.4909,0.0,0.0,0.0,2.0,2.0,2.0,28,112,189,255,1,0,0,0.1
181,5,1,1,72.0,64.0,26.7582,0.0,0.0,0.0,2.0,2.0,2.0,142,57,21,255,1,0,0,0.1
182,5,2,1,72.0,64.0,52.3055,0.0,0.0,0.0,2.0,2.0,2.0,27,107,182,255,1,0,0,0.1
183,5,1,1,0.0,72.0,50.7884,0.0,0.0,0.0,2.0,2.0,2.0,179,72,26,255,1,0,0,0.1
184,5,2,1,0.0,72.0,81.6339,0.0,0.0,0.0,2.0,2.0,2.0,34,134,226,255,1,0,0,0.1
185,5,1,1,8.0,72.0,51.237,0.0,0.0,0.0,2.0,2.0,2.0,180,73,27,255,1,0,0,0.1
186,5,2,1,8.0,72.0,80.6298,0.0,0.0,0.0,2.0,2.0,2.0,33,133,225,255,1,0,0,0.1
187,5,1,1,16.0,72.0,59.878,0.0,0.0,0.0,2.0,2.0,2.0,193,78,29,255,1,0,0,0.1
188,5,2,1,16.0,72.0,84.3616,0.0,0.0,0.0,2.0,2.0,2.0,34,136,231,255,1,0,0,0.1
189,5,1,1,24.0,72.0,55.672,0.0,0.0,0.0,2.0,2.0,2.0,187,75,28,255,1,0,0,0.1
190,5,2,1,24.0,72.0,82.6044,0.0,0.0,0.0,2.0,2.0,2.0,34,135,228,255,1,0,0,0.1
191,5,1,1,32.0,72.0,49.1274,0.0,0.0,0.0,2.0,2.0,2.0,177,71,26,255,1,0,0,0.1
192,5,2,1,32.0,72.0,80.4279,0.0,0.0,0.0,2.0,2.0,2.0,33,133,225,255,1,0,0,0.1
193,5,1,1,40.0,72.0,49.7611,0.0,0.0,0.0,2.0,2.0,2.0,178,72,26,255,1,0,0,0.1
194,5,2,1,40.0,72.0,79.2696,0.0,0.0,0.0,2.0,2.0,2.0,33,132,223,255,1,0,0,0.1
195,5,1,1,48.0,72.0,47.0069,0.0,0.0,0.0,2.0,2.0,2.0,173,70,26,255,1,0,0,0.1
196,5,2,1,48.0,72.0,75.7358,0.0,0.0,0.0,2.0,2.0,2.0,32,128,217,255,1,0,0,0.1
197,5,1,1,56.0,72.0,33.9664,0.0,0.0,0.0,2.0,2.0,2.0,153,62,23,255,1,0,0,0.1
198,5,2,1,56.0,72.0,60.5774,0.0,0.0,0.0,2.0,2.0,2.0,29,115,194,255,1,0,0,0.1
199,5,1,1,64.0,72.0,33.9787,0.0,0.0,0.0,2.0,2.0,2.0,153,62,23,255,1,0,0,0.1
200,5,2,1,64.0,72.0,62.5147,0.0,0.0,0.0,2.0,2.0,2.0,29,117,197,255,1,0,0,0.1
201,5,1,1,72.0,72.0,27.9339,0.0,0.0,0.0,2.0,2.0,2.0,144,58,21,255,1,0,0,0.1
202,5,2,1,72.0,72.0,54.7433,0.0,0.0,0.0,2.0,2.0,2.0,27,109,185,255,1,0,0,0.1
