id,table_id,record_id,title
96,0,99,Grade 10 | 2007 | Economically Disadvantaged: 12.4% above proficient
97,0,100,Grade 10 | 2007 | Not Economically Disadvantaged: 30.9% above proficient
98,0,101,Grade 11 | 2007 | Economically Disadvantaged: 18.4% above proficient
99,0,102,Grade 11 | 2007 | Not Economically Disadvantaged: 40.2% above proficient
100,0,103,Grade 2 | 2008 | Economically Disadvantaged: 43.9% above proficient
101,0,104,Grade 2 | 2008 | Not Economically Disadvantaged: 74.8% above proficient
102,0,105,Grade 3 | 2008 | Economically Disadvantaged: 38.2% above proficient
103,0,106,Grade 3 | 2008 | Not Economically Disadvantaged: 71.2% above proficient
104,0,107,Grade 4 | 2008 | Economically Disadvantaged: 46.9% above proficient
105,0,108,Grade 4 | 2008 | Not Economically Disadvantaged: 76.8% above proficient
106,0,109,Grade 5 | 2008 | Economically Disadvantaged: 36.2% above proficient
107,0,110,Grade 5 | 2008 | Not Economically Disadvantaged: 69.2% above proficient
108,0,111,Grade 6 | 2008 | Economically Disadvantaged: 34.4% above proficient
109,0,112,Grade 6 | 2008 | Not Economically Disadvantaged: 69.0% above proficient
110,0,113,Grade 7 | 2008 | Economically Disadvantaged: 33.8% above proficient
111,0,114,Grade 7 | 2008 | Not Economically Disadvantaged: 66.2% above proficient
112,0,115,Grade 8 | 2008 | Economically Disadvantaged: 27.9% above proficient
113,0,116,Grade 8 | 2008 | Not Economically Disadvantaged: 60.0% above proficient
114,0,117,Grade 9 | 2008 | Economically Disadvantaged: 20.7% above proficient
115,0,118,Grade 9 | 2008 | Not Economically Disadvantaged: 46.0% above proficient
116,0,119,Grade 10 | 2008 | Economically Disadvantaged: 17.7% above proficient
117,0,120,Grade 10 | 2008 | Not Economically Disadvantaged: 39.2% above proficient
118,0,121,Grade 11 | 2008 | Economically Disadvantaged: 18.2% above proficient
119,0,122,Grade 11 | 2008 | Not Economically Disadvantaged: 41.9% above proficient
120,0,123,Grade 2 | 2009 | Economically Disadvantaged: 49.0% above proficient
121,0,124,Grade 2 | 2009 | Not Economically Disadvantaged: 77.6% above proficient
122,0,125,Grade 3 | 2009 | Economically Disadvantaged: 44.3% above proficient
123,0,126,Grade 3 | 2009 | Not Economically Disadvantaged: 76.0% above proficient
124,0,127,Grade 4 | 2009 | Economically Disadvantaged: 54.1% above proficient
125,0,128,Grade 4 | 2009 | Not Economically Disadvantaged: 81.6% above proficient
126,0,129,Grade 5 | 2009 | Economically Disadvantaged: 45.1% above proficient
